month,region,country,no_of_visitor_arrivals
1978-01,Asia,Asean,64500
1978-01,Asia,Japan,18652
1978-01,Asia,Hong Kong,3148
1978-01,Asia,"China, People's Republic Of",56
1978-01,Asia,Taiwan,1956
1978-01,Asia,"Korea, Republic Of",518
1978-01,Asia,India,3383
1978-01,Asia,Pakistan,656
1978-01,Asia,"Sri Lanka, Republic Of",826
1978-01,Asia,Saudi Arabia,367
1978-01,Asia,Kuwait,58
1978-01,Asia,United Arab Emirates,216
1978-01,Europe,United Kingdom,8512
1978-01,Europe,Germany,3955
1978-01,Europe,France,2526
1978-01,Europe,Italy,2266
1978-01,Europe,Netherlands,2309
1978-01,Europe,Switzerland,2185
1978-01,Europe,Scandinavia,1881
1978-01,Europe,CIS & Eastern Europe,433
1978-01,Americas,USA,8362
1978-01,Americas,Canada,1328
1978-01,Oceania,Australia,28421
1978-01,Oceania,New Zealand,3612
1978-02,Asia,Asean,57650
1978-02,Asia,Japan,20394
1978-02,Asia,Hong Kong,5805
1978-02,Asia,"China, People's Republic Of",7
1978-02,Asia,Taiwan,1659
1978-02,Asia,"Korea, Republic Of",493
1978-02,Asia,India,3493
1978-02,Asia,Pakistan,565
1978-02,Asia,"Sri Lanka, Republic Of",681
1978-02,Asia,Saudi Arabia,389
1978-02,Asia,Kuwait,128
1978-02,Asia,United Arab Emirates,224
1978-02,Europe,United Kingdom,9381
1978-02,Europe,Germany,4484
1978-02,Europe,France,2694
1978-02,Europe,Italy,2192
1978-02,Europe,Netherlands,2345
1978-02,Europe,Switzerland,1596
1978-02,Europe,Scandinavia,2112
1978-02,Europe,CIS & Eastern Europe,514
1978-02,Americas,USA,8251
1978-02,Americas,Canada,1434
1978-02,Oceania,Australia,13982
1978-02,Oceania,New Zealand,2521
1978-03,Asia,Asean,63299
1978-03,Asia,Japan,20136
1978-03,Asia,Hong Kong,4510
1978-03,Asia,"China, People's Republic Of",55
1978-03,Asia,Taiwan,2460
1978-03,Asia,"Korea, Republic Of",601
1978-03,Asia,India,4141
1978-03,Asia,Pakistan,657
1978-03,Asia,"Sri Lanka, Republic Of",809
1978-03,Asia,Saudi Arabia,560
1978-03,Asia,Kuwait,287
1978-03,Asia,United Arab Emirates,321
1978-03,Europe,United Kingdom,10289
1978-03,Europe,Germany,5583
1978-03,Europe,France,2771
1978-03,Europe,Italy,2002
1978-03,Europe,Netherlands,2575
1978-03,Europe,Switzerland,1461
1978-03,Europe,Scandinavia,2183
1978-03,Europe,CIS & Eastern Europe,472
1978-03,Americas,USA,9901
1978-03,Americas,Canada,1662
1978-03,Oceania,Australia,16536
1978-03,Oceania,New Zealand,2727
1978-04,Asia,Asean,73782
1978-04,Asia,Japan,13508
1978-04,Asia,Hong Kong,3254
1978-04,Asia,"China, People's Republic Of",11
1978-04,Asia,Taiwan,2336
1978-04,Asia,"Korea, Republic Of",701
1978-04,Asia,India,3431
1978-04,Asia,Pakistan,756
1978-04,Asia,"Sri Lanka, Republic Of",948
1978-04,Asia,Saudi Arabia,538
1978-04,Asia,Kuwait,65
1978-04,Asia,United Arab Emirates,273
1978-04,Europe,United Kingdom,7470
1978-04,Europe,Germany,5309
1978-04,Europe,France,3183
1978-04,Europe,Italy,1677
1978-04,Europe,Netherlands,2649
1978-04,Europe,Switzerland,1472
1978-04,Europe,Scandinavia,1590
1978-04,Europe,CIS & Eastern Europe,405
1978-04,Americas,USA,11782
1978-04,Americas,Canada,1586
1978-04,Oceania,Australia,16499
1978-04,Oceania,New Zealand,3197
1978-05,Asia,Asean,68036
1978-05,Asia,Japan,14472
1978-05,Asia,Hong Kong,3212
1978-05,Asia,"China, People's Republic Of",3
1978-05,Asia,Taiwan,2143
1978-05,Asia,"Korea, Republic Of",674
1978-05,Asia,India,5272
1978-05,Asia,Pakistan,720
1978-05,Asia,"Sri Lanka, Republic Of",885
1978-05,Asia,Saudi Arabia,488
1978-05,Asia,Kuwait,74
1978-05,Asia,United Arab Emirates,263
1978-05,Europe,United Kingdom,6557
1978-05,Europe,Germany,3491
1978-05,Europe,France,2248
1978-05,Europe,Italy,1028
1978-05,Europe,Netherlands,2754
1978-05,Europe,Switzerland,1189
1978-05,Europe,Scandinavia,1245
1978-05,Europe,CIS & Eastern Europe,431
1978-05,Americas,USA,13448
1978-05,Americas,Canada,2025
1978-05,Oceania,Australia,20690
1978-05,Oceania,New Zealand,5130
1978-06,Asia,Asean,67746
1978-06,Asia,Japan,12992
1978-06,Asia,Hong Kong,3589
1978-06,Asia,"China, People's Republic Of",1
1978-06,Asia,Taiwan,2112
1978-06,Asia,"Korea, Republic Of",645
1978-06,Asia,India,4908
1978-06,Asia,Pakistan,758
1978-06,Asia,"Sri Lanka, Republic Of",823
1978-06,Asia,Saudi Arabia,463
1978-06,Asia,Kuwait,164
1978-06,Asia,United Arab Emirates,395
1978-06,Europe,United Kingdom,5545
1978-06,Europe,Germany,2806
1978-06,Europe,France,1778
1978-06,Europe,Italy,830
1978-06,Europe,Netherlands,2588
1978-06,Europe,Switzerland,853
1978-06,Europe,Scandinavia,1233
1978-06,Europe,CIS & Eastern Europe,333
1978-06,Americas,USA,10585
1978-06,Americas,Canada,1179
1978-06,Oceania,Australia,17915
1978-06,Oceania,New Zealand,4478
1978-07,Asia,Asean,73672
1978-07,Asia,Japan,15363
1978-07,Asia,Hong Kong,5376
1978-07,Asia,"China, People's Republic Of",11
1978-07,Asia,Taiwan,2413
1978-07,Asia,"Korea, Republic Of",686
1978-07,Asia,India,4220
1978-07,Asia,Pakistan,893
1978-07,Asia,"Sri Lanka, Republic Of",912
1978-07,Asia,Saudi Arabia,758
1978-07,Asia,Kuwait,98
1978-07,Asia,United Arab Emirates,451
1978-07,Europe,United Kingdom,7688
1978-07,Europe,Germany,4174
1978-07,Europe,France,4386
1978-07,Europe,Italy,1195
1978-07,Europe,Netherlands,5456
1978-07,Europe,Switzerland,1823
1978-07,Europe,Scandinavia,1326
1978-07,Europe,CIS & Eastern Europe,465
1978-07,Americas,USA,10945
1978-07,Americas,Canada,1665
1978-07,Oceania,Australia,19085
1978-07,Oceania,New Zealand,5441
1978-08,Asia,Asean,82899
1978-08,Asia,Japan,24656
1978-08,Asia,Hong Kong,7059
1978-08,Asia,"China, People's Republic Of",6
1978-08,Asia,Taiwan,3421
1978-08,Asia,"Korea, Republic Of",595
1978-08,Asia,India,4379
1978-08,Asia,Pakistan,636
1978-08,Asia,"Sri Lanka, Republic Of",946
1978-08,Asia,Saudi Arabia,841
1978-08,Asia,Kuwait,171
1978-08,Asia,United Arab Emirates,442
1978-08,Europe,United Kingdom,8156
1978-08,Europe,Germany,4834
1978-08,Europe,France,6695
1978-08,Europe,Italy,3408
1978-08,Europe,Netherlands,3883
1978-08,Europe,Switzerland,1417
1978-08,Europe,Scandinavia,1209
1978-08,Europe,CIS & Eastern Europe,321
1978-08,Americas,USA,9569
1978-08,Americas,Canada,1247
1978-08,Oceania,Australia,20802
1978-08,Oceania,New Zealand,6127
1978-09,Asia,Asean,75304
1978-09,Asia,Japan,13397
1978-09,Asia,Hong Kong,3603
1978-09,Asia,"China, People's Republic Of",4
1978-09,Asia,Taiwan,2269
1978-09,Asia,"Korea, Republic Of",491
1978-09,Asia,India,5004
1978-09,Asia,Pakistan,516
1978-09,Asia,"Sri Lanka, Republic Of",911
1978-09,Asia,Saudi Arabia,1095
1978-09,Asia,Kuwait,141
1978-09,Asia,United Arab Emirates,469
1978-09,Europe,United Kingdom,7627
1978-09,Europe,Germany,4128
1978-09,Europe,France,2980
1978-09,Europe,Italy,1445
1978-09,Europe,Netherlands,3143
1978-09,Europe,Switzerland,1383
1978-09,Europe,Scandinavia,1586
1978-09,Europe,CIS & Eastern Europe,412
1978-09,Americas,USA,8839
1978-09,Americas,Canada,1244
1978-09,Oceania,Australia,19622
1978-09,Oceania,New Zealand,5970
1978-10,Asia,Asean,71707
1978-10,Asia,Japan,16897
1978-10,Asia,Hong Kong,3825
1978-10,Asia,"China, People's Republic Of",17
1978-10,Asia,Taiwan,2643
1978-10,Asia,"Korea, Republic Of",740
1978-10,Asia,India,5775
1978-10,Asia,Pakistan,668
1978-10,Asia,"Sri Lanka, Republic Of",1001
1978-10,Asia,Saudi Arabia,606
1978-10,Asia,Kuwait,88
1978-10,Asia,United Arab Emirates,327
1978-10,Europe,United Kingdom,9354
1978-10,Europe,Germany,5098
1978-10,Europe,France,2693
1978-10,Europe,Italy,1254
1978-10,Europe,Netherlands,3422
1978-10,Europe,Switzerland,2052
1978-10,Europe,Scandinavia,2470
1978-10,Europe,CIS & Eastern Europe,688
1978-10,Americas,USA,14039
1978-10,Americas,Canada,1525
1978-10,Oceania,Australia,18269
1978-10,Oceania,New Zealand,4731
1978-11,Asia,Asean,71323
1978-11,Asia,Japan,21717
1978-11,Asia,Hong Kong,3865
1978-11,Asia,"China, People's Republic Of",81
1978-11,Asia,Taiwan,3540
1978-11,Asia,"Korea, Republic Of",876
1978-11,Asia,India,6003
1978-11,Asia,Pakistan,580
1978-11,Asia,"Sri Lanka, Republic Of",1017
1978-11,Asia,Saudi Arabia,1313
1978-11,Asia,Kuwait,287
1978-11,Asia,United Arab Emirates,515
1978-11,Europe,United Kingdom,9871
1978-11,Europe,Germany,6087
1978-11,Europe,France,3075
1978-11,Europe,Italy,1998
1978-11,Europe,Netherlands,2939
1978-11,Europe,Switzerland,1903
1978-11,Europe,Scandinavia,2957
1978-11,Europe,CIS & Eastern Europe,687
1978-11,Americas,USA,13027
1978-11,Americas,Canada,1792
1978-11,Oceania,Australia,14866
1978-11,Oceania,New Zealand,3241
1978-12,Asia,Asean,87269
1978-12,Asia,Japan,17087
1978-12,Asia,Hong Kong,4856
1978-12,Asia,"China, People's Republic Of",13
1978-12,Asia,Taiwan,3426
1978-12,Asia,"Korea, Republic Of",801
1978-12,Asia,India,5807
1978-12,Asia,Pakistan,747
1978-12,Asia,"Sri Lanka, Republic Of",1384
1978-12,Asia,Saudi Arabia,697
1978-12,Asia,Kuwait,165
1978-12,Asia,United Arab Emirates,457
1978-12,Europe,United Kingdom,9347
1978-12,Europe,Germany,5042
1978-12,Europe,France,2003
1978-12,Europe,Italy,1618
1978-12,Europe,Netherlands,2622
1978-12,Europe,Switzerland,1672
1978-12,Europe,Scandinavia,2087
1978-12,Europe,CIS & Eastern Europe,539
1978-12,Americas,USA,7503
1978-12,Americas,Canada,1373
1978-12,Oceania,Australia,22197
1978-12,Oceania,New Zealand,4487
1979-01,Asia,Asean,65825
1979-01,Asia,Japan,20383
1979-01,Asia,Hong Kong,5485
1979-01,Asia,"China, People's Republic Of",100
1979-01,Asia,Taiwan,2026
1979-01,Asia,"Korea, Republic Of",639
1979-01,Asia,India,5936
1979-01,Asia,Pakistan,846
1979-01,Asia,"Sri Lanka, Republic Of",1100
1979-01,Asia,Saudi Arabia,685
1979-01,Asia,Kuwait,371
1979-01,Asia,United Arab Emirates,439
1979-01,Europe,United Kingdom,10071
1979-01,Europe,Germany,5510
1979-01,Europe,France,2796
1979-01,Europe,Italy,2567
1979-01,Europe,Netherlands,2943
1979-01,Europe,Switzerland,1850
1979-01,Europe,Scandinavia,2271
1979-01,Europe,CIS & Eastern Europe,822
1979-01,Americas,USA,7449
1979-01,Americas,Canada,1507
1979-01,Oceania,Australia,27175
1979-01,Oceania,New Zealand,4084
1979-02,Asia,Asean,57866
1979-02,Asia,Japan,23356
1979-02,Asia,Hong Kong,5124
1979-02,Asia,"China, People's Republic Of",6
1979-02,Asia,Taiwan,3604
1979-02,Asia,"Korea, Republic Of",716
1979-02,Asia,India,5571
1979-02,Asia,Pakistan,759
1979-02,Asia,"Sri Lanka, Republic Of",918
1979-02,Asia,Saudi Arabia,700
1979-02,Asia,Kuwait,690
1979-02,Asia,United Arab Emirates,331
1979-02,Europe,United Kingdom,10703
1979-02,Europe,Germany,5717
1979-02,Europe,France,3042
1979-02,Europe,Italy,2201
1979-02,Europe,Netherlands,2631
1979-02,Europe,Switzerland,1506
1979-02,Europe,Scandinavia,2523
1979-02,Europe,CIS & Eastern Europe,525
1979-02,Americas,USA,8378
1979-02,Americas,Canada,1615
1979-02,Oceania,Australia,13536
1979-02,Oceania,New Zealand,2503
1979-03,Asia,Asean,68836
1979-03,Asia,Japan,21471
1979-03,Asia,Hong Kong,4158
1979-03,Asia,"China, People's Republic Of",13
1979-03,Asia,Taiwan,4768
1979-03,Asia,"Korea, Republic Of",950
1979-03,Asia,India,6446
1979-03,Asia,Pakistan,855
1979-03,Asia,"Sri Lanka, Republic Of",1119
1979-03,Asia,Saudi Arabia,1070
1979-03,Asia,Kuwait,440
1979-03,Asia,United Arab Emirates,472
1979-03,Europe,United Kingdom,11223
1979-03,Europe,Germany,6372
1979-03,Europe,France,3631
1979-03,Europe,Italy,2311
1979-03,Europe,Netherlands,2924
1979-03,Europe,Switzerland,1555
1979-03,Europe,Scandinavia,2807
1979-03,Europe,CIS & Eastern Europe,1091
1979-03,Americas,USA,10341
1979-03,Americas,Canada,1595
1979-03,Oceania,Australia,13494
1979-03,Oceania,New Zealand,3096
1979-04,Asia,Asean,76483
1979-04,Asia,Japan,16002
1979-04,Asia,Hong Kong,5180
1979-04,Asia,"China, People's Republic Of",7
1979-04,Asia,Taiwan,4068
1979-04,Asia,"Korea, Republic Of",970
1979-04,Asia,India,6193
1979-04,Asia,Pakistan,844
1979-04,Asia,"Sri Lanka, Republic Of",1237
1979-04,Asia,Saudi Arabia,930
1979-04,Asia,Kuwait,174
1979-04,Asia,United Arab Emirates,522
1979-04,Europe,United Kingdom,9187
1979-04,Europe,Germany,6841
1979-04,Europe,France,3701
1979-04,Europe,Italy,1351
1979-04,Europe,Netherlands,3164
1979-04,Europe,Switzerland,1650
1979-04,Europe,Scandinavia,2094
1979-04,Europe,CIS & Eastern Europe,860
1979-04,Americas,USA,10040
1979-04,Americas,Canada,1482
1979-04,Oceania,Australia,15280
1979-04,Oceania,New Zealand,3941
1979-05,Asia,Asean,71724
1979-05,Asia,Japan,17023
1979-05,Asia,Hong Kong,3876
1979-05,Asia,"China, People's Republic Of",3
1979-05,Asia,Taiwan,4243
1979-05,Asia,"Korea, Republic Of",1096
1979-05,Asia,India,7174
1979-05,Asia,Pakistan,1081
1979-05,Asia,"Sri Lanka, Republic Of",1082
1979-05,Asia,Saudi Arabia,847
1979-05,Asia,Kuwait,151
1979-05,Asia,United Arab Emirates,450
1979-05,Europe,United Kingdom,7641
1979-05,Europe,Germany,3992
1979-05,Europe,France,2484
1979-05,Europe,Italy,1124
1979-05,Europe,Netherlands,3207
1979-05,Europe,Switzerland,1366
1979-05,Europe,Scandinavia,1726
1979-05,Europe,CIS & Eastern Europe,682
1979-05,Americas,USA,10487
1979-05,Americas,Canada,1567
1979-05,Oceania,Australia,19273
1979-05,Oceania,New Zealand,5961
1979-06,Asia,Asean,79069
1979-06,Asia,Japan,18307
1979-06,Asia,Hong Kong,3920
1979-06,Asia,"China, People's Republic Of",13
1979-06,Asia,Taiwan,3403
1979-06,Asia,"Korea, Republic Of",944
1979-06,Asia,India,5959
1979-06,Asia,Pakistan,1042
1979-06,Asia,"Sri Lanka, Republic Of",1068
1979-06,Asia,Saudi Arabia,967
1979-06,Asia,Kuwait,217
1979-06,Asia,United Arab Emirates,507
1979-06,Europe,United Kingdom,7452
1979-06,Europe,Germany,3746
1979-06,Europe,France,2779
1979-06,Europe,Italy,1182
1979-06,Europe,Netherlands,3531
1979-06,Europe,Switzerland,1179
1979-06,Europe,Scandinavia,1612
1979-06,Europe,CIS & Eastern Europe,1059
