month,region,no_of_visitor_arrivals
1978-01,Asia,96164
1978-01,Europe,25643
1978-01,Americas,10105
1978-01,Oceania,32710
1978-01,Africa,587
1978-02,Asia,92829
1978-02,Europe,26929
1978-02,Americas,9996
1978-02,Oceania,17189
1978-02,Africa,354
1978-03,Asia,101154
1978-03,Europe,29549
1978-03,Americas,11982
1978-03,Oceania,19637
1978-03,Africa,405
1978-04,Asia,101467
1978-04,Europe,25613
1978-04,Americas,13951
1978-04,Oceania,20123
1978-04,Africa,736
1978-05,Asia,98048
1978-05,Europe,20421
1978-05,Americas,17022
1978-05,Oceania,26288
1978-05,Africa,514
1978-06,Asia,96209
1978-06,Europe,17048
1978-06,Americas,12675
1978-06,Oceania,22834
1978-06,Africa,688
1978-07,Asia,106677
1978-07,Europe,29135
1978-07,Americas,13928
1978-07,Oceania,24986
1978-07,Africa,662
1978-08,Asia,128157
1978-08,Europe,32959
1978-08,Americas,11771
1978-08,Oceania,27432
1978-08,Africa,617
1978-09,Asia,104927
1978-09,Europe,24496
1978-09,Americas,11026
1978-09,Oceania,26114
1978-09,Africa,866
1978-10,Asia,106463
1978-10,Europe,29428
1978-10,Americas,16983
1978-10,Oceania,23513
1978-10,Africa,701
1978-11,Asia,113162
1978-11,Europe,32784
1978-11,Americas,15438
1978-11,Oceania,18714
1978-11,Africa,650
1978-12,Asia,124673
1978-12,Europe,26579
1978-12,Americas,9210
1978-12,Oceania,27490
1978-12,Africa,841
1979-01,Asia,105514
1979-01,Europe,31023
1979-01,Americas,9500
1979-01,Oceania,32074
1979-01,Africa,729
1979-02,Asia,100989
1979-02,Europe,31150
1979-02,Americas,10558
1979-02,Oceania,16686
1979-02,Africa,458
1979-03,Asia,112224
1979-03,Europe,33856
1979-03,Americas,12324
1979-03,Oceania,17050
1979-03,Africa,475
1979-04,Asia,114286
1979-04,Europe,31821
1979-04,Americas,12278
1979-04,Oceania,19760
1979-04,Africa,878
1979-05,Asia,110605
1979-05,Europe,24089
1979-05,Americas,13281
1979-05,Oceania,25726
1979-05,Africa,698
1979-06,Asia,117109
1979-06,Europe,24205
1979-06,Americas,11702
1979-06,Oceania,23361
1979-06,Africa,601
1979-07,Asia,128288
1979-07,Europe,34302
1979-07,Americas,13056
1979-07,Oceania,23451
1979-07,Africa,703
1979-08,Asia,135859
1979-08,Europe,36803
1979-08,Americas,12066
1979-08,Oceania,27725
1979-08,Africa,707
1979-09,Asia,113801
1979-09,Europe,26788
1979-09,Americas,11235
1979-09,Oceania,26370
1979-09,Africa,818
1979-10,Asia,121432
1979-10,Europe,33652
1979-10,Americas,16113
1979-10,Oceania,22257
1979-10,Africa,831
